Title,Artist ,Album,Year,Streams
the 1,Taylor Swift,Folklore,2020,"9,172,908"
cardigan,Taylor Swift,Folklore,2020,"175,016,218"
the last great american dynasty,Taylor Swift,Folklore,2020,"56,021,811"
exile (fea. Bon Iver),Taylor Swift,Folklore,2020,"136,990,308"
my tear ricochet,Taylor Swift,Folklore,2020,"51,022,964"
mirrorball,Taylor Swift,Folklore,2020,"40,230,875"
seven,Taylor Swift,Folklore,2020,"38,955,832"
august,Taylor Swift,Folklore,2020,"158,812,007"
this is me trying,Taylor Swift,Folklore,2020,"35,482,141"
illicit affairs,Taylor Swift,Folklore,2020,"34,431,939"
invisible string,Taylor Swift,Folklore,2020,"40,441,282"
mad woman,Taylor Swift,Folklore,2020,"28,049,051"
epiphany,Taylor Swift,Folklore,2020,"24,686,308"
betty,Taylor Swift,Folklore,2020,"37,888,271"
peace,Taylor Swift,Folklore,2020,"23,729,893"
hoax,Taylor Swift,Folklore,2020,"19,861,967"
willow,Taylor Swift,Evermore,2021,"219,136,315"
champagne problems,Taylor Swift,Evermore,2021,"70,651,960"
gold rush,Taylor Swift,Evermore,2021,"37,766,170"
tis the damn season,Taylor Swift,Evermore,2021,"35,986,269"
tolerate it,Taylor Swift,Evermore,2021,"29,543,800"
"no body, no crime (ft. Haim)",Taylor Swift,Evermore,2021,"44,052,780"
happiness,Taylor Swift,Evermore,2021,"24,315,906"
dorothea,Taylor Swift,Evermore,2021,"19,091,483"
coney island (ft. The National),Taylor Swift,Evermore,2021,"19,544,940"
ivy,Taylor Swift,Evermore,2021,"22,599,697"
cowboy like me,Taylor Swift,Evermore,2021,"17,105,237"
long story short,Taylor Swift,Evermore,2021,"19,795,365"
marjorie,Taylor Swift,Evermore,2021,"15,779,785"
closure,Taylor Swift,Evermore,2021,"13,352,860"
right where you left me,Taylor Swift,Evermore,2021,"656,109"
it's time to go,Taylor Swift,Evermore,2021,"1,361,991"
Lavender Haze,Taylor Swift,Midnights,2022,"157,406,51"
Maroon,Taylor Swift,Midnights,2022,"134,113,425"
Anti-Hero,Taylor Swift,Midnights,2022,"267,466,503"
Snow On the Beach (ft. Lana Del Rey),Taylor Swift,Midnights,2022,"139,951,679"
"You're On Your Own, Kid",Taylor Swift,Midnights,2022,"150,134,794"
Midnight Rain,Taylor Swift,Midnights,2022,"150,134,794"
Question...?,Taylor Swift,Midnights,2022,"107,380,109"
Vigilante Shit,Taylor Swift,Midnights,2022,"112,427,238"
Bejeweled,Taylor Swift,Midnights,2022,"118,749,506"
Labyrinth,Taylor Swift,Midnights,2022,"88,338,013"
Karma,Taylor Swift,Midnights,2022,"123,180,043"
Sweet Nothing,Taylor Swift,Midnights,2022,"83,639,48"
Mastermind,Taylor Swift,Midnights,2022,"90,440,292"